"","gender","t","evertrans","meanpay","n","grouping"
"1","men",0,0,3486.51531748079,1049,"Men - Will not transition"
"2","men",0,1,2864.23903223976,1097,"Men - Will transition"
"3","men",1,0,3842.29477000854,1027,"Men - Will not transition"
"4","men",1,1,3302.18237772653,1047,"Men - Will transition"
"5","men",2,0,4148.45003952292,1007,"Men - Will not transition"
"6","men",2,1,3599.09934597917,1016,"Men - Will transition"
"7","men",3,0,4479.77856432,983,"Men - Will not transition"
"8","men",3,1,3899.64980557502,972,"Men - Will transition"
"9","men",4,0,4879.01632112271,968,"Men - Will not transition"
"10","men",4,1,4213.06549163035,931,"Men - Will transition"
"11","men",5,0,5267.35303341244,955,"Men - Will not transition"
"12","men",5,1,4681.93358359863,902,"Men - Will transition"
"13","men",6,0,5613.58107258727,921,"Men - Will not transition"
"14","men",6,1,5042.85530816003,861,"Men - Will transition"
"15","men",7,0,5901.09554689809,875,"Men - Will not transition"
"16","men",7,1,5407.3074000821,820,"Men - Will transition"
"17","men",8,0,6278.10538113717,822,"Men - Will not transition"
"18","men",8,1,5774.48375138732,777,"Men - Will transition"
"19","men",9,0,6742.06696932279,781,"Men - Will not transition"
"20","men",9,1,6261.59687151339,736,"Men - Will transition"
"21","men",10,0,7239.14760529465,727,"Men - Will not transition"
"22","men",10,1,6741.47591310245,718,"Men - Will transition"
"23","men",11,0,7675.41416792144,628,"Men - Will not transition"
"24","men",11,1,7213.98359353414,639,"Men - Will transition"
"25","men",12,0,8068.64175451313,536,"Men - Will not transition"
"26","men",12,1,7531.19984511134,553,"Men - Will transition"
"27","men",13,0,8622.30748993085,444,"Men - Will not transition"
"28","men",13,1,8083.02555703096,446,"Men - Will transition"
"29","men",14,0,9125.47754952345,352,"Men - Will not transition"
"30","men",14,1,8478.5474508507,338,"Men - Will transition"
"31","men",15,0,9718.60550343601,245,"Men - Will not transition"
"32","men",15,1,8897.77313906027,245,"Men - Will transition"
"33","men",16,0,10354.9793335955,161,"Men - Will not transition"
"34","men",16,1,9953.95481799217,151,"Men - Will transition"
"35","men",17,0,10412.7933722655,75,"Men - Will not transition"
"36","men",17,1,9991.95571935788,78,"Men - Will transition"
"37","women",0,0,3165.92784978887,1049,"Women - Will not transition"
"38","women",0,1,2759.63061346853,1116,"Women - Will transition"
"39","women",1,0,3477.92108373054,1038,"Women - Will not transition"
"40","women",1,1,3086.24717239911,1087,"Women - Will transition"
"41","women",2,0,3754.80089861096,1024,"Women - Will not transition"
"42","women",2,1,3304.90729831291,1047,"Women - Will transition"
"43","women",3,0,4061.76657410797,1011,"Women - Will not transition"
"44","women",3,1,3563.36810936081,1008,"Women - Will transition"
"45","women",4,0,4480.88225565334,991,"Women - Will not transition"
"46","women",4,1,3866.49170787089,967,"Women - Will transition"
"47","women",5,0,4877.85060953859,974,"Women - Will not transition"
"48","women",5,1,4287.60639107346,905,"Women - Will transition"
"49","women",6,0,5228.81535835017,929,"Women - Will not transition"
"50","women",6,1,4624.34653780162,862,"Women - Will transition"
"51","women",7,0,5519.40167558464,862,"Women - Will not transition"
"52","women",7,1,4956.13735973007,784,"Women - Will transition"
"53","women",8,0,5809.42318465345,794,"Women - Will not transition"
"54","women",8,1,5157.69060363155,728,"Women - Will transition"
"55","women",9,0,6183.15182271534,724,"Women - Will not transition"
"56","women",9,1,5343.64008394803,668,"Women - Will transition"
"57","women",10,0,6561.12452514913,666,"Women - Will not transition"
"58","women",10,1,5695.22416078537,613,"Women - Will transition"
"59","women",11,0,7077.23761953758,589,"Women - Will not transition"
"60","women",11,1,5984.47950490624,526,"Women - Will transition"
"61","women",12,0,7496.32021637428,482,"Women - Will not transition"
"62","women",12,1,6426.08675642513,435,"Women - Will transition"
"63","women",13,0,7880.84553556919,375,"Women - Will not transition"
"64","women",13,1,6795.43188897355,355,"Women - Will transition"
"65","women",14,0,8210.82626667223,286,"Women - Will not transition"
"66","women",14,1,6874.45264564067,273,"Women - Will transition"
"67","women",15,0,8643.02806770684,203,"Women - Will not transition"
"68","women",15,1,7245.94184023255,197,"Women - Will transition"
"69","women",16,0,9110.00741542355,123,"Women - Will not transition"
"70","women",16,1,8051.17884163572,109,"Women - Will transition"
"71","women",17,0,9421.21868693829,58,"Women - Will not transition"
"72","women",17,1,7835.23189824952,45,"Women - Will transition"
