"","gender","model","t","salary","lower","upper","n"
"1","men","extended",0,2892.97246419642,2318.98212762424,3662.13212121085,350
"2","men","extended",1,3131.5821300891,2567.19242590237,3868.74397891291,341
"3","men","extended",2,3408.10340794019,2772.13595726326,4238.27084861005,314
"4","men","extended",3,3746.39588806303,2975.89165107645,4776.57314783999,333
"5","men","extended",4,4108.76827534922,3211.31117818109,5347.65023199013,333
"6","men","extended",5,4543.23355881607,3494.72332994369,6040.89906486282,331
"7","men","extended",6,4938.30495474717,3757.68299886823,6661.44069952828,300
"8","men","extended",7,5290.84914087141,3973.22857211807,7251.98945960116,277
"9","men","extended",8,5692.68268272622,4258.13973283285,7837.66822351978,268
"10","men","extended",9,6083.81073829902,4549.38789910659,8368.15009046545,246
"11","men","extended",10,6698.59277742483,5019.42873419813,9170.55537993404,235
"12","men","extended",11,7070.1165434422,5301.21885356007,9629.77698905984,205
"13","men","extended",12,7453.3590549184,5577.86201874564,10147.9760280765,178
"14","men","extended",13,7970.46889954707,6014.60800283634,10771.5564535807,147
"15","men","extended",14,8218.43381034447,6124.31486508249,11281.3688290913,114
"16","men","extended",15,8488.29751482011,6073.38129380448,12230.2702864013,81
"17","men","original",0,2878.66355643203,2321.72736466609,3623.47543627723,350
"18","men","original",1,3139.20665685323,2579.8196546331,3867.10589924411,341
"19","men","original",2,3431.63814821446,2775.53207091188,4292.61416387319,314
"20","men","original",3,3758.91625883863,2946.91450502882,4869.21864585203,333
"21","men","original",4,4108.00002322168,3152.61096902062,5476.6725231116,333
"22","men","original",5,4534.10164718117,3410.83486975418,6217.56473700745,331
"23","men","original",6,4930.47001730077,3660.22576548902,6886.82138816874,300
"24","men","original",7,5283.78846501207,3862.26315203883,7523.59638307748,277
"25","men","original",8,5687.67574185565,4141.35472936802,8132.5812555597,268
"26","men","original",9,6079.03949955461,4431.29773731221,8661.9640526808,246
"27","men","original",10,6697.76683379733,4906.17008660246,9454.78774378081,235
"28","men","original",11,7069.52478889248,5204.9989259632,9859.27339509208,205
"29","men","original",12,7453.03797064431,5504.11129618674,10317.3537719186,178
"30","men","original",13,7972.20644289587,5984.21415215499,10853.5556916408,147
"31","men","original",14,8227.24471118799,6136.98533209651,11302.1476418987,114
"32","men","original",15,8504.25079038136,6108.15461609231,12234.7564554192,81
"33","women","extended",0,2782.20524424434,2246.66912893818,3475.22365010073,351
"34","women","extended",1,3018.19108813951,2471.06657382086,3717.73972112435,345
"35","women","extended",2,3290.96533131907,2654.95280978626,4115.76881711554,328
"36","women","extended",3,3574.59610867412,2814.56849639216,4590.63142479566,351
"37","women","extended",4,3930.58531245262,3005.12440830338,5214.12300568902,336
"38","women","extended",5,4345.88697808279,3229.0810934402,5945.98833245815,317
"39","women","extended",6,4738.86998810372,3437.69786291736,6655.17709884495,281
"40","women","extended",7,5138.30408795207,3696.19308495716,7289.63099660647,244
"41","women","extended",8,5469.72858067878,3916.00329090249,7798.39038755895,230
"42","women","extended",9,5686.34846043691,4073.10057827417,8096.81667956169,205
"43","women","extended",10,6060.23059582298,4300.89923896092,8694.71140611091,184
"44","women","extended",11,6155.761769424,4355.37775390553,8842.96816161345,151
"45","women","extended",12,6678.58969913863,4709.15147300045,9618.31410062824,125
"46","women","extended",13,6816.73720871826,4701.92801389797,10059.5695908043,93
"47","women","extended",14,6986.25966821806,4682.57172936915,10634.7494650642,67
"48","women","extended",15,7534.68324585678,4920.48362866298,11885.7416678262,53
"49","women","original",0,2766.32712866863,2237.8157697955,3446.35761473888,351
"50","women","original",1,3023.05812208524,2472.13918516222,3727.71800183727,345
"51","women","original",2,3314.68511071964,2669.1347950823,4154.2836427636,328
"52","women","original",3,3589.61437933476,2822.87700142639,4616.63240738916,351
"53","women","original",4,3930.01127285355,3003.25572741971,5215.65430531432,336
"54","women","original",5,4318.15305040816,3208.76050164043,5904.78963567073,317
"55","women","original",6,4718.28944175083,3425.45774712741,6615.78413547584,281
"56","women","original",7,5121.5996108898,3688.27529409105,7249.88746670143,244
"57","women","original",8,5460.70059822709,3912.41726845354,7769.99427892244,230
"58","women","original",9,5687.06002959182,4077.01360541116,8081.30363527143,205
"59","women","original",10,6071.20218963436,4313.8426286331,8690.63667113255,184
"60","women","original",11,6172.03518389563,4372.26261958711,8847.22629328733,151
"61","women","original",12,6699.67738012283,4728.8453712837,9630.05867332802,125
"62","women","original",13,6836.30482808958,4724.93786945525,10057.0347287905,93
"63","women","original",14,6999.5670868002,4703.85215395885,10610.4979740415,67
"64","women","original",15,7531.75887381017,4941.17272602918,11803.0141849644,53
